RBD;IVE BÁSICA 2021;IVE MEDIA 2021
1171;79%;NO
1173;90%;NO
1174;92%;NO
1176;98%;NO
1178;93%;NO
1180;88%;NO
1181;91%;NO
1182;100%;NO
1185;85%;NO
1189;86%;NO
1191;90%;NO
1192;92%;NO
1197;86%;NO
1200;90%;NO
1202;90%;NO
1203;87%;NO
1204;93%;NO
1208;80%;NO
1210;91%;NO
1211;90%;NO
1212;89%;NO
1215;79%;NO
1216;84%;NO
1217;80%;NO
1218;85%;NO
1220;77%;NO
1221;83%;NO
1233;92%;NO
1234;86%;NO
1235;92%;NO
1237;100%;NO
1238;96%;NO
1239;88%;NO
1240;100%;NO
1243;95%;NO
1244;100%;NO
1245;88%;NO
1246;90%;NO
1247;91%;NO
1248;94%;NO
1249;94%;NO
1250;96%;NO
1251;87%;NO
1252;95%;NO
1256;90%;NO
1257;92%;NO
1258;94%;NO
1259;91%;NO
1265;93%;NO
1266;96%;NO
1268;88%;NO
1269;89%;NO
1271;93%;NO
1273;94%;NO
1274;93%;NO
1275;90%;NO
1279;93%;NO
1280;96%;NO
1281;87%;NO
1282;94%;NO
1283;98%;NO
1285;87%;NO
1286;89%;NO
1287;94%;NO
1304;95%;NO
1305;92%;NO
1307;92%;NO
1308;95%;NO
1309;100%;NO
1310;94%;NO
1311;85%;NO
1312;94%;NO
1313;96%;NO
1321;96%;NO
1322;97%;NO
1323;89%;NO
1325;90%;NO
1326;93%;NO
1328;94%;NO
1329;93%;NO
1331;94%;NO
1332;92%;NO
1333;92%;NO
1336;95%;NO
1337;91%;NO
1338;95%;NO
1339;89%;NO
1340;97%;NO
1341;88%;NO
1342;96%;NO
1343;91%;NO
1345;94%;NO
1346;96%;NO
1349;91%;NO
1350;86%;NO
1352;91%;NO
1353;96%;NO
1355;89%;NO
1356;90%;NO
1358;89%;NO
1359;97%;NO
1360;88%;NO
1369;75%;NO
1377;84%;NO
1378;90%;NO
1384;87%;NO
1385;87%;NO
1389;94%;NO
1390;89%;NO
1394;100%;NO
1416;81%;NO
1417;93%;NO
1418;87%;NO
1419;84%;NO
1423;97%;NO
1424;87%;NO
1427;93%;NO
1430;94%;NO
1431;87%;NO
1433;90%;NO
1435;86%;NO
1438;98%;NO
1442;86%;NO
1447;94%;NO
1448;92%;NO
1454;94%;NO
1455;93%;NO
1456;94%;NO
1457;98%;NO
1458;88%;NO
1459;92%;NO
1460;100%;NO
1461;97%;NO
1462;94%;NO
1465;85%;NO
1466;83%;NO
1469;93%;NO
1471;87%;NO
1472;89%;NO
1473;90%;NO
1474;92%;NO
1475;87%;NO
1483;84%;NO
1484;70%;NO
1488;92%;NO
1491;91%;NO
1493;100%;NO
1495;100%;NO
1496;93%;NO
1498;92%;NO
1506;92%;NO
1511;96%;NO
1514;94%;NO
1523;98%;NO
1524;99%;NO
1526;83%;NO
1528;87%;NO
1529;88%;NO
1533;91%;NO
1534;92%;NO
1536;96%;NO
1537;92%;NO
1538;91%;NO
1540;92%;NO
1541;98%;NO
1543;97%;NO
1547;97%;NO
1548;94%;NO
1550;96%;NO
1551;98%;NO
1553;89%;NO
1554;94%;NO
1555;97%;NO
1556;98%;NO
1557;91%;NO
1563;96%;NO
1567;96%;NO
1568;94%;NO
1569;91%;NO
1570;97%;NO
1571;97%;NO
1573;93%;NO
1577;92%;NO
1578;81%;NO
1583;92%;NO
1593;95%;NO
1595;87%;NO
1596;92%;NO
1597;94%;NO
1598;92%;NO
1599;96%;NO
1601;92%;NO
1602;90%;NO
1603;92%;NO
1609;91%;NO
1620;82%;NO
1621;88%;NO
1650;83%;NO
1667;86%;NO
1677;81%;NO
1678;86%;NO
1680;78%;NO
1682;92%;NO
1683;93%;NO
1684;88%;NO
1686;84%;NO
1688;80%;NO
1689;82%;NO
1691;81%;NO
1692;87%;NO
1693;87%;NO
1695;82%;NO
1696;91%;NO
1697;94%;NO
1698;96%;NO
1699;87%;NO
1700;95%;NO
1701;90%;NO
1702;86%;NO
1703;86%;NO
1704;82%;NO
1705;92%;NO
1707;96%;NO
1708;91%;NO
1709;92%;NO
1712;90%;NO
1714;97%;NO
1716;95%;NO
1717;95%;NO
1718;88%;NO
1720;81%;NO
1721;96%;NO
1722;76%;NO
1724;93%;NO
1728;82%;NO
1732;96%;NO
1748;89%;NO
1751;90%;NO
1752;90%;NO
1759;94%;NO
1765;92%;NO
1772;91%;NO
1807;91%;NO
1819;79%;NO
1842;93%;NO
1847;97%;NO
1853;90%;NO
1855;94%;NO
1856;93%;NO
1857;86%;NO
1867;93%;NO
1868;94%;NO
1869;86%;NO
1870;91%;NO
1871;89%;NO
1873;95%;NO
1874;97%;NO
1875;88%;NO
1876;100%;NO
1877;89%;NO
1878;96%;NO
1885;87%;NO
1888;79%;NO
1890;83%;NO
1892;91%;NO
1893;92%;NO
1898;94%;NO
1899;76%;NO
1900;87%;NO
1901;94%;NO
1906;95%;NO
1917;81%;NO
1924;79%;NO
1927;87%;NO
1930;82%;NO
1932;83%;NO
1961;91%;NO
1963;90%;NO
1965;92%;NO
1966;88%;NO
1968;94%;NO
1970;95%;NO
1975;88%;NO
1976;86%;NO
1985;86%;NO
1998;88%;NO
1999;81%;NO
2003;82%;NO
2005;91%;NO
2008;94%;NO
2014;97%;NO
2017;89%;NO
2020;86%;NO
2021;96%;NO
2022;90%;NO
2023;98%;NO
2024;95%;NO
2026;94%;NO
2027;89%;NO
2036;76%;NO
2037;96%;NO
2038;94%;NO
2054;95%;NO
2065;93%;NO
2068;86%;NO
2069;83%;NO
2071;90%;NO
2074;94%;NO
2079;91%;NO
2081;91%;NO
2083;91%;NO
2085;88%;NO
2087;84%;NO
2089;75%;NO
2092;92%;NO
2093;83%;NO
2095;100%;NO
2096;83%;NO
2101;79%;NO
2112;89%;NO
2114;86%;NO
2115;93%;NO
2116;86%;NO
2118;87%;NO
2119;85%;NO
2120;88%;NO
2121;87%;NO
2122;75%;NO
2125;92%;NO
2126;78%;NO
2129;86%;NO
2131;87%;NO
2132;94%;NO
2135;89%;NO
2136;78%;NO
2138;98%;NO
2139;87%;NO
2140;96%;NO
2143;94%;NO
2145;72%;NO
2146;85%;NO
2147;83%;NO
2151;71%;NO
2155;89%;NO
2159;83%;NO
2160;93%;NO
2162;81%;NO
2174;81%;NO
2178;82%;NO
2179;81%;NO
2182;80%;NO
2184;98%;NO
2207;93%;NO
2209;95%;NO
2210;92%;NO
2212;97%;NO
2220;96%;NO
2223;94%;NO
2226;95%;NO
2227;89%;NO
2228;88%;NO
2231;96%;NO
2234;94%;NO
2235;91%;NO
2236;91%;NO
2237;98%;NO
2238;97%;NO
2240;92%;NO
2247;88%;NO
2249;85%;NO
2251;94%;NO
2255;91%;NO
2257;71%;NO
2258;73%;NO
2262;89%;NO
2264;90%;NO
2265;92%;NO
2266;96%;NO
2267;93%;NO
2268;91%;NO
2271;100%;NO
2274;85%;NO
2275;90%;NO
2279;92%;NO
2282;92%;NO
2284;89%;NO
2286;93%;NO
2288;98%;NO
2289;93%;NO
2292;92%;NO
2293;85%;NO
2294;92%;NO
2296;92%;NO
2297;94%;NO
2299;94%;NO
2300;95%;NO
2301;92%;NO
2302;95%;NO
2304;75%;NO
2307;85%;NO
2310;96%;NO
2311;95%;NO
2312;94%;NO
2313;95%;NO
2314;89%;NO
2320;89%;NO
2321;95%;NO
2322;95%;NO
2324;97%;NO
2325;94%;NO
2330;91%;NO
2331;100%;NO
2333;96%;NO
2334;95%;NO
2335;95%;NO
2336;92%;NO
2338;95%;NO
2343;94%;NO
2347;99%;NO
2348;91%;NO
2350;92%;NO
2359;94%;NO
2360;96%;NO
2361;93%;NO
2362;90%;NO
2363;92%;NO
2364;96%;NO
2365;93%;NO
2366;88%;NO
2367;91%;NO
2372;76%;NO
2373;88%;NO
2374;91%;NO
2379;98%;NO
2380;97%;NO
2381;97%;NO
2384;96%;NO
2386;90%;NO
2387;96%;NO
2388;93%;NO
2389;91%;NO
2390;91%;NO
2391;85%;NO
2392;96%;NO
2393;91%;NO
2394;100%;NO
2395;89%;NO
2396;100%;NO
2397;93%;NO
2398;93%;NO
2407;95%;NO
2409;88%;NO
2410;95%;NO
2412;92%;NO
2414;91%;NO
2415;90%;NO
2416;90%;NO
2417;87%;NO
2419;85%;NO
2420;86%;NO
2423;91%;NO
2424;99%;NO
2425;96%;NO
2426;91%;NO
2427;92%;NO
2428;89%;NO
2429;85%;NO
2432;92%;NO
2436;90%;NO
2437;90%;NO
2438;89%;NO
2439;94%;NO
2440;80%;NO
2456;89%;NO
2457;94%;NO
2458;94%;NO
2459;93%;NO
2460;96%;NO
2461;94%;NO
2462;95%;NO
2464;91%;NO
2465;93%;NO
2467;94%;NO
2469;87%;NO
2470;94%;NO
2471;97%;NO
2472;92%;NO
2475;91%;NO
2476;92%;NO
2487;96%;NO
2488;98%;NO
2489;93%;NO
2490;96%;NO
2491;97%;NO
2492;95%;NO
2493;91%;NO
2494;93%;NO
2495;94%;NO
2496;91%;NO
2498;98%;NO
2500;97%;NO
2501;97%;NO
2505;90%;NO
2506;95%;NO
2508;98%;NO
2509;87%;NO
2513;91%;NO
2517;87%;NO
2519;91%;NO
2520;95%;NO
2521;92%;NO
2522;100%;NO
2523;95%;NO
2524;90%;NO
2525;92%;NO
2526;96%;NO
2527;98%;NO
2528;96%;NO
2529;94%;NO
2531;86%;NO
2532;94%;NO
2534;100%;NO
2535;100%;NO
2536;100%;NO
2537;90%;NO
2538;95%;NO
2539;95%;NO
2540;100%;NO
2541;100%;NO
2542;93%;NO
2543;100%;NO
2544;94%;NO
2545;80%;NO
2548;71%;NO
2553;89%;NO
2555;85%;NO
2556;97%;NO
2557;91%;NO
2558;83%;NO
2559;91%;NO
2560;95%;NO
2561;99%;NO
2562;96%;NO
2563;98%;NO
2565;91%;NO
2566;95%;NO
2568;89%;NO
2570;92%;NO
2572;97%;NO
2575;100%;NO
2576;98%;NO
2577;100%;NO
2584;94%;NO
2590;89%;NO
2591;100%;NO
2592;100%;NO
2594;100%;NO
2598;79%;NO
2599;95%;NO
2601;88%;NO
2603;92%;NO
2604;100%;NO
2607;89%;NO
2609;100%;NO
2611;96%;NO
2613;89%;NO
2615;90%;NO
2621;95%;NO
2622;100%;NO
2624;100%;NO
2626;91%;NO
2627;97%;NO
2629;93%;NO
2633;100%;NO
2634;95%;NO
2636;96%;NO
2637;96%;NO
2642;100%;NO
2643;100%;NO
2646;100%;NO
2650;84%;NO
2652;100%;NO
2654;88%;NO
2658;80%;NO
2660;93%;NO
2661;90%;NO
2664;90%;NO
2666;97%;NO
2673;80%;NO
2678;95%;NO
2682;92%;NO
2685;100%;NO
2686;97%;NO
2687;100%;NO
2692;92%;NO
2694;87%;NO
2698;80%;NO
2700;94%;NO
2702;100%;NO
2703;93%;NO
2704;83%;NO
2705;100%;NO
2706;92%;NO
2707;91%;NO
2708;87%;NO
2711;92%;NO
2714;97%;NO
2715;95%;NO
2716;94%;NO
2717;100%;NO
2719;100%;NO
2721;100%;NO
2722;83%;NO
2723;100%;NO
2724;100%;NO
2725;90%;NO
2727;100%;NO
2728;100%;NO
2734;94%;NO
2735;79%;NO
2736;94%;NO
2738;86%;NO
2740;90%;NO
2741;90%;NO
2742;87%;NO
2744;90%;NO
2745;92%;NO
2747;85%;NO
2748;96%;NO
2749;98%;NO
2750;82%;NO
2753;97%;NO
2754;98%;NO
2755;98%;NO
2756;93%;NO
2758;88%;NO
2759;91%;NO
2761;95%;NO
2762;94%;NO
2763;95%;NO
2764;94%;NO
2765;94%;NO
2766;100%;NO
2767;73%;NO
2768;93%;NO
2771;100%;NO
2776;97%;NO
2780;97%;NO
2795;95%;NO
2796;96%;NO
2799;96%;NO
2800;92%;NO
2801;94%;NO
2802;92%;NO
2803;93%;NO
2804;94%;NO
2805;94%;NO
2806;90%;NO
2809;97%;NO
2814;90%;NO
2816;94%;NO
2817;90%;NO
2819;96%;NO
2820;94%;NO
2821;88%;NO
2822;91%;NO
2823;91%;NO
2825;92%;NO
2826;92%;NO
2827;98%;NO
2829;93%;NO
2830;98%;NO
2831;98%;NO
2832;94%;NO
2839;92%;NO
2840;95%;NO
2842;95%;NO
2843;95%;NO
2844;93%;NO
2845;95%;NO
2846;91%;NO
2847;94%;NO
2848;92%;NO
2850;100%;NO
2851;100%;NO
2854;93%;NO
2856;75%;NO
2858;100%;NO
2859;91%;NO
2860;89%;NO
2861;96%;NO
2862;85%;NO
2866;94%;NO
2867;88%;NO
2868;93%;NO
2870;95%;NO
2871;94%;NO
2873;95%;NO
2874;100%;NO
2875;94%;NO
2876;93%;NO
2877;89%;NO
2879;92%;NO
2883;95%;NO
2884;95%;NO
2885;93%;NO
2888;91%;NO
2890;100%;NO
2892;86%;NO
2893;100%;NO
2894;89%;NO
2895;80%;NO
2901;96%;NO
2903;91%;NO
2907;93%;NO
2911;89%;NO
2914;93%;NO
2917;97%;NO
2918;95%;NO
2920;95%;NO
2921;100%;NO
2927;97%;NO
2928;100%;NO
2941;93%;NO
2942;92%;NO
2944;87%;NO
2945;89%;NO
2946;92%;NO
2947;97%;NO
2948;89%;NO
2949;84%;NO
2950;82%;NO
2951;81%;NO
2952;95%;NO
2955;94%;NO
2956;90%;NO
2957;89%;NO
2958;93%;NO
2959;91%;NO
2964;93%;NO
2965;97%;NO
2966;80%;NO
2968;88%;NO
2972;93%;NO
2975;89%;NO
2977;92%;NO
2978;85%;NO
2980;100%;NO
2981;87%;NO
2983;79%;NO
2986;96%;NO
2989;88%;NO
2990;88%;NO
2993;93%;NO
2997;91%;NO
2999;91%;NO
3002;84%;NO
3008;84%;NO
3017;93%;NO
3019;96%;NO
3020;95%;NO
3022;93%;NO
3023;96%;NO
3024;91%;NO
3025;97%;NO
3026;91%;NO
3028;93%;NO
3029;100%;NO
3030;100%;NO
3032;91%;NO
3034;93%;NO
3036;96%;NO
3037;95%;NO
3038;95%;NO
3039;95%;NO
3042;100%;NO
3045;100%;NO
3047;92%;NO
3048;96%;NO
3051;96%;NO
3056;95%;NO
3057;99%;NO
3058;99%;NO
3060;96%;NO
3061;100%;NO
3062;98%;NO
3063;95%;NO
3065;96%;NO
3067;98%;NO
3068;98%;NO
3069;95%;NO
3070;98%;NO
3073;96%;NO
3076;100%;NO
3077;100%;NO
3079;95%;NO
3081;94%;NO
3082;100%;NO
3084;100%;NO
3085;96%;NO
3086;99%;NO
3088;88%;NO
3090;91%;NO
3092;67%;NO
3093;100%;NO
3096;97%;NO
3104;100%;NO
3106;93%;NO
3107;97%;NO
3111;83%;NO
3112;99%;NO
3113;99%;NO
3114;97%;NO
3115;88%;NO
3117;97%;NO
3118;98%;NO
3119;100%;NO
3121;100%;NO
3122;100%;NO
3123;100%;NO
3124;92%;NO
3125;100%;NO
3129;100%;NO
3130;91%;NO
3134;100%;NO
3139;97%;NO
3140;96%;NO
3143;96%;NO
3146;100%;NO
3158;100%;NO
3159;100%;NO
3166;96%;NO
3168;93%;NO
3169;94%;NO
3174;96%;NO
3176;84%;NO
3177;100%;NO
3179;100%;NO
3185;99%;NO
3186;100%;NO
3187;100%;NO
3189;63%;NO
3190;100%;NO
3191;98%;NO
3196;100%;NO
3198;100%;NO
3201;88%;NO
3203;89%;NO
3206;96%;NO
3207;89%;NO
3208;90%;NO
3212;93%;NO
3213;100%;NO
3215;100%;NO
3216;100%;NO
3217;100%;NO
3219;100%;NO
3221;100%;NO
3222;80%;NO
3223;100%;NO
3225;100%;NO
3229;0%;NO
3230;90%;NO
3233;100%;NO
3235;100%;NO
3236;100%;NO
3238;96%;NO
3240;100%;NO
3242;100%;NO
3249;95%;NO
3250;98%;NO
3251;94%;NO
3253;99%;NO
3255;88%;NO
3256;88%;NO
3257;97%;NO
3258;93%;NO
3260;97%;NO
3261;99%;NO
3263;94%;NO
3264;98%;NO
3265;96%;NO
3266;97%;NO
3267;96%;NO
3268;99%;NO
3269;98%;NO
3270;98%;NO
3271;100%;NO
3272;100%;NO
3273;100%;NO
3274;100%;NO
3277;100%;NO
3282;100%;NO
3284;100%;NO
3285;96%;NO
3286;100%;NO
3287;100%;NO
3288;88%;NO
3289;100%;NO
3291;99%;NO
3292;95%;NO
3294;81%;NO
3297;97%;NO
3299;98%;NO
3310;93%;NO
3314;95%;NO
3315;97%;NO
3316;95%;NO
3318;94%;NO
3319;95%;NO
3320;100%;NO
3321;100%;NO
3322;80%;NO
3323;95%;NO
3325;95%;NO
3329;94%;NO
3330;99%;NO
3332;99%;NO
3333;95%;NO
3334;93%;NO
3335;96%;NO
3336;98%;NO
3337;93%;NO
3338;91%;NO
3340;100%;NO
3345;98%;NO
3346;100%;NO
3347;90%;NO
3349;98%;NO
3352;98%;NO
3353;92%;NO
3354;94%;NO
3355;98%;NO
3356;93%;NO
3358;95%;NO
3361;96%;NO
3362;96%;NO
3364;94%;NO
3365;99%;NO
3366;95%;NO
3367;100%;NO
3368;100%;NO
3369;100%;NO
3371;94%;NO
3373;98%;NO
3375;100%;NO
3376;96%;NO
3377;100%;NO
3378;67%;NO
3381;98%;NO
3382;92%;NO
3383;100%;NO
3384;67%;NO
3385;98%;NO
3389;100%;NO
3390;98%;NO
3393;98%;NO
3395;95%;NO
3398;94%;NO
3401;97%;NO
3402;96%;NO
3404;95%;NO
3405;89%;NO
3406;100%;NO
3408;97%;NO
3413;94%;NO
3417;100%;NO
3418;100%;NO
3419;82%;NO
3421;100%;NO
3429;93%;NO
3435;98%;NO
3436;95%;NO
3437;96%;NO
3439;90%;NO
3440;98%;NO
3444;100%;NO
3445;98%;NO
3447;100%;NO
3448;97%;NO
3449;100%;NO
3450;98%;NO
3451;100%;NO
3452;100%;NO
3453;100%;NO
3454;98%;NO
3457;100%;NO
3458;100%;NO
3459;100%;NO
3462;96%;NO
3463;100%;NO
3464;96%;NO
3465;96%;NO
3466;96%;NO
3467;100%;NO
3468;96%;NO
3470;95%;NO
3471;97%;NO
3475;98%;NO
3480;97%;NO
3481;97%;NO
3482;94%;NO
3483;96%;NO
3488;97%;NO
3489;100%;NO
3490;96%;NO
3491;99%;NO
3492;99%;NO
3494;97%;NO
3495;96%;NO
3497;95%;NO
3502;100%;NO
3506;100%;NO
3515;94%;NO
3517;95%;NO
3518;100%;NO
3520;100%;NO
3523;90%;NO
3526;100%;NO
3527;86%;NO
3532;79%;NO
3541;96%;NO
3544;94%;NO
3545;96%;NO
3546;95%;NO
3548;100%;NO
3549;98%;NO
3550;100%;NO
3551;98%;NO
3552;97%;NO
3554;97%;NO
3555;95%;NO
3564;100%;NO
3566;100%;NO
3568;100%;NO
3569;100%;NO
3573;100%;NO
3579;100%;NO
3580;86%;NO
3582;100%;NO
3583;100%;NO
3586;100%;NO
3588;100%;NO
3594;100%;NO
3596;100%;NO
3599;100%;NO
3601;100%;NO
3602;100%;NO
3604;100%;NO
3610;85%;NO
3611;94%;NO
3612;100%;NO
3614;100%;NO
3615;100%;NO
3616;100%;NO
3619;90%;NO
3621;93%;NO
3622;94%;NO
3623;94%;NO
3624;100%;NO
3625;96%;NO
3626;92%;NO
3629;100%;NO
3630;100%;NO
3631;96%;NO
3632;100%;NO
3633;100%;NO
3636;92%;NO
3659;92%;NO
3660;97%;NO
3663;85%;NO
3664;96%;NO
3666;93%;NO
3667;97%;NO
3668;93%;NO
3669;98%;NO
3670;89%;NO
3671;87%;NO
3672;95%;NO
3673;90%;NO
3675;91%;NO
3677;90%;NO
3678;92%;NO
3681;91%;NO
3683;100%;NO
3685;95%;NO
3686;98%;NO
3687;91%;NO
3691;100%;NO
3694;100%;NO
3697;100%;NO
3698;99%;NO
3703;98%;NO
3704;94%;NO
3707;91%;NO
3709;97%;NO
3710;96%;NO
3714;84%;NO
3716;86%;NO
3717;87%;NO
3726;97%;NO
3731;93%;NO
3740;96%;NO
3744;98%;NO
3745;97%;NO
3749;97%;NO
3754;100%;NO
3755;94%;NO
3757;87%;NO
3758;93%;NO
3759;98%;NO
3760;100%;NO
3762;99%;NO
3766;100%;NO
3768;94%;NO
3776;100%;NO
3781;100%;NO
3782;99%;NO
3783;100%;NO
3784;92%;NO
3785;100%;NO
3786;95%;NO
3791;100%;NO
3798;96%;NO
3799;98%;NO
3801;98%;NO
3804;97%;NO
3814;95%;NO
3815;97%;NO
3818;100%;NO
3820;94%;NO
3828;100%;NO
3829;100%;NO
3831;96%;NO
3832;100%;NO
3833;88%;NO
3835;96%;NO
3836;98%;NO
3837;100%;NO
3838;100%;NO
3839;94%;NO
3840;99%;NO
3841;92%;NO
3842;98%;NO
3843;96%;NO
3846;100%;NO
3849;86%;NO
3851;100%;NO
3852;100%;NO
3853;100%;NO
3854;83%;NO
3855;98%;NO
3856;97%;NO
3857;100%;NO
3859;100%;NO
3866;81%;NO
3867;100%;NO
3869;100%;NO
3870;50%;NO
3872;93%;NO
3874;87%;NO
3876;94%;NO
3877;100%;NO
3882;100%;NO
3883;93%;NO
3884;100%;NO
3890;99%;NO
3891;100%;NO
3894;100%;NO
3897;100%;NO
3898;100%;NO
3899;96%;NO
3903;98%;NO
3904;100%;NO
3906;100%;NO
3910;92%;NO
3912;96%;NO
3913;96%;NO
3914;97%;NO
3916;97%;NO
3917;0%;NO
3918;100%;NO
3920;100%;NO
3921;100%;NO
3922;97%;NO
3924;100%;NO
3926;100%;NO
3927;100%;NO
3930;100%;NO
3932;80%;NO
3934;100%;NO
3935;92%;NO
3937;100%;NO
3945;100%;NO
3947;60%;NO
3948;100%;NO
3949;100%;NO
3952;100%;NO
3955;100%;NO
3957;98%;NO
3958;100%;NO
3959;86%;NO
3962;100%;NO
3964;100%;NO
3965;100%;NO
3966;100%;NO
3967;96%;NO
3968;100%;NO
3971;100%;NO
3972;93%;NO
3974;96%;NO
3975;100%;NO
3978;100%;NO
3980;93%;NO
3981;95%;NO
3982;96%;NO
3983;97%;NO
3984;94%;NO
3988;100%;NO
3991;95%;NO
3992;92%;NO
3995;100%;NO
3997;95%;NO
3999;95%;NO
4000;95%;NO
4001;96%;NO
4002;94%;NO
4003;85%;NO
4005;91%;NO
4006;97%;NO
4016;100%;NO
4017;100%;NO
4019;94%;NO
4022;75%;NO
4026;96%;NO
4027;92%;NO
4029;94%;NO
4030;95%;NO
4034;99%;NO
4037;100%;NO
4039;92%;NO
4040;100%;NO
4048;94%;NO
4050;84%;NO
4051;95%;NO
4054;100%;NO
4058;100%;NO
4059;88%;NO
4061;88%;NO
4062;97%;NO
4064;100%;NO
4067;100%;NO
4068;100%;NO
4070;97%;NO
4071;96%;NO
4073;100%;NO
4074;100%;NO
4076;98%;NO
4077;100%;NO
4079;100%;NO
4081;100%;NO
4085;92%;NO
4087;92%;NO
4088;100%;NO
4089;100%;NO
4090;100%;NO
4091;100%;NO
4093;100%;NO
4094;100%;NO
4095;100%;NO
4096;100%;NO
4097;100%;NO
4100;100%;NO
4101;100%;NO
4103;94%;NO
4104;92%;NO
4107;94%;NO
4112;100%;NO
4116;0%;NO
4125;98%;NO
4128;100%;NO
4130;97%;NO
4131;91%;NO
4133;100%;NO
4134;96%;NO
4139;91%;NO
4142;93%;NO
4146;85%;NO
4154;100%;NO
4155;97%;NO
4158;98%;NO
4168;90%;NO
4169;86%;NO
4171;95%;NO
4172;92%;NO
4173;92%;NO
4174;94%;NO
4175;92%;NO
4176;89%;NO
4177;96%;NO
4179;91%;NO
4180;96%;NO
4181;86%;NO
4183;97%;NO
4185;97%;NO
4186;91%;NO
4188;96%;NO
4189;95%;NO
4191;97%;NO
4193;100%;NO
4194;97%;NO
4197;97%;NO
4199;93%;NO
4200;97%;NO
4201;92%;NO
4202;100%;NO
4204;95%;NO
4205;95%;NO
4207;96%;NO
4210;96%;NO
4212;92%;NO
4216;100%;NO
4221;99%;NO
4228;85%;NO
4231;97%;NO
4235;97%;NO
4241;96%;NO
4254;93%;NO
4255;97%;NO
4258;91%;NO
4259;96%;NO
4266;89%;NO
4268;79%;NO
4272;91%;NO
4275;96%;NO
4280;96%;NO
4281;98%;NO
4290;94%;NO
4295;100%;NO
4297;100%;NO
4298;71%;NO
4299;75%;NO
4300;100%;NO
4302;86%;NO
4303;71%;NO
4304;83%;NO
4305;100%;NO
4306;96%;NO
4308;83%;NO
4311;95%;NO
4312;96%;NO
4314;100%;NO
4317;94%;NO
4321;100%;NO
4327;100%;NO
4328;93%;NO
4330;94%;NO
4334;96%;NO
4335;75%;NO
4337;100%;NO
4338;80%;NO
4339;100%;NO
4340;100%;NO
4341;78%;NO
4342;89%;NO
4345;100%;NO
4347;75%;NO
4348;92%;NO
4352;99%;NO
4354;95%;NO
4355;100%;NO
4356;93%;NO
4357;95%;NO
4358;96%;NO
4359;99%;NO
4361;100%;NO
4365;100%;NO
4368;85%;NO
4372;100%;NO
4374;100%;NO
4375;99%;NO
4379;99%;NO
4386;100%;NO
4387;94%;NO
4389;100%;NO
4391;94%;NO
4393;97%;NO
4395;100%;NO
4396;95%;NO
4397;100%;NO
4398;100%;NO
4402;93%;NO
4405;91%;NO
4406;88%;NO
4407;97%;NO
4409;91%;NO
4410;98%;NO
4412;100%;NO
4414;100%;NO
4417;100%;NO
4419;91%;NO
4421;100%;NO
4426;63%;NO
4432;86%;NO
4433;100%;NO
4435;94%;NO
4436;94%;NO
4437;100%;NO
4441;100%;NO
4443;93%;NO
4447;93%;NO
4448;95%;NO
4449;95%;NO
4452;86%;NO
4453;94%;NO
4454;91%;NO
4455;96%;NO
4456;99%;NO
4459;100%;NO
4462;75%;NO
4466;100%;NO
4467;100%;NO
4469;100%;NO
4470;100%;NO
4471;100%;NO
4472;100%;NO
4474;100%;NO
4476;100%;NO
4478;100%;NO
4479;100%;NO
4480;83%;NO
4481;91%;NO
4482;81%;NO
4484;93%;NO
4485;96%;NO
4486;100%;NO
4495;100%;NO
4496;97%;NO
4497;93%;NO
4502;88%;NO
4503;96%;NO
4506;97%;NO
4512;94%;NO
4513;91%;NO
4514;95%;NO
4517;100%;NO
4527;100%;NO
4548;77%;NO
4551;100%;NO
4569;91%;NO
4576;92%;NO
4578;82%;NO
4579;83%;NO
4581;83%;NO
4582;84%;NO
4586;97%;NO
4592;92%;NO
4593;96%;NO
4594;89%;NO
4595;94%;NO
4603;84%;NO
4609;96%;NO
4611;82%;NO
4612;83%;NO
4613;86%;NO
4614;96%;NO
4615;99%;NO
4622;92%;NO
4626;97%;NO
4627;81%;NO
4628;91%;NO
4629;93%;NO
4633;83%;NO
4635;81%;NO
4639;83%;NO
4641;89%;NO
4645;83%;NO
4647;92%;NO
4648;84%;NO
4650;98%;NO
4658;91%;NO
4660;97%;NO
4665;81%;NO
4670;96%;NO
4675;94%;NO
4711;97%;NO
4713;94%;NO
4714;93%;NO
4719;95%;NO
4720;96%;NO
4722;92%;NO
4723;91%;NO
4724;93%;NO
4725;84%;NO
4726;92%;NO
4727;94%;NO
4728;83%;NO
4730;92%;NO
4731;91%;NO
4732;90%;NO
4734;97%;NO
4736;84%;NO
4737;89%;NO
4742;88%;NO
4744;93%;NO
4746;97%;NO
4747;87%;NO
4750;84%;NO
4753;95%;NO
4754;97%;NO
4758;68%;NO
4767;80%;NO
4772;84%;NO
4774;99%;NO
4777;97%;NO
4781;86%;NO
4786;92%;NO
4791;89%;NO
4792;91%;NO
4806;94%;NO
4807;91%;NO
4808;96%;NO
4809;95%;NO
4810;95%;NO
4811;94%;NO
4812;97%;NO
4813;93%;NO
4814;97%;NO
4817;95%;NO
4818;94%;NO
4820;83%;NO
4831;93%;NO
4832;90%;NO
4834;97%;NO
4835;89%;NO
4836;95%;NO
4837;93%;NO
4838;85%;NO
4839;99%;NO
4840;93%;NO
4841;94%;NO
4842;89%;NO
4843;96%;NO
4844;92%;NO
4845;94%;NO
4848;97%;NO
4851;100%;NO
4852;92%;NO
4854;100%;NO
4855;93%;NO
4858;90%;NO
4859;100%;NO
