RBD;IVE BÁSICA 2021;IVE MEDIA 2021
4166;NO;97%
4190;93%;96%
4195;95%;95%
4262;93%;94%
4263;67%;80%
4269;88%;92%
4270;95%;96%
4277;90%;90%
4287;NO;96%
4288;NO;95%
4289;NO;92%
4292;96%;97%
4307;83%;84%
4309;NO;96%
4310;96%;98%
4324;90%;88%
4331;95%;94%
4333;93%;97%
4353;NO;97%
4382;92%;92%
4392;96%;98%
4404;NO;91%
4408;100%;98%
4446;95%;98%
4451;NO;92%
4483;NO;89%
4500;91%;93%
4505;NO;97%
4507;95%;97%
4509;92%;99%
4530;84%;89%
4531;87%;87%
4533;NO;97%
4534;NO;96%
4535;NO;97%
4536;NO;96%
4553;NO;92%
4554;NO;82%
4555;89%;94%
4557;NO;93%
4559;NO;98%
4560;95%;95%
4561;92%;95%
4562;93%;89%
4563;86%;88%
4564;85%;87%
4565;86%;95%
4571;95%;95%
4572;78%;87%
4574;90%;91%
4575;88%;92%
4577;66%;79%
4585;79%;82%
4588;88%;89%
4589;92%;95%
4591;96%;98%
4616;96%;97%
4617;85%;89%
4630;81%;86%
4631;90%;89%
4636;67%;75%
4644;86%;88%
4646;70%;74%
4655;67%;76%
4656;84%;84%
4659;79%;81%
4662;57%;66%
4663;77%;82%
4664;85%;88%
4666;79%;75%
4667;86%;90%
4669;59%;69%
4672;92%;90%
4677;79%;83%
4691;51%;64%
4700;NO;94%
4702;NO;93%
4703;NO;94%
4706;NO;94%
4707;NO;95%
4708;NO;92%
4709;NO;97%
4712;88%;90%
4715;NO;83%
4717;97%;93%
4733;94%;89%
4760;89%;88%
4762;79%;78%
4778;81%;87%
4779;90%;89%
4782;88%;90%
4785;78%;75%
4790;85%;85%
4805;NO;95%
4822;79%;87%
4824;NO;96%
4825;NO;96%
4829;NO;94%
4830;86%;85%
4865;78%;82%
4868;76%;78%
4870;NO;96%
4871;96%;93%
4897;NO;96%
4922;90%;97%
4925;NO;96%
4948;NO;96%
4949;NO;98%
4951;NO;95%
4952;96%;92%
4958;95%;93%
4969;96%;98%
4973;84%;85%
4975;NO;97%
4977;NO;95%
4982;95%;91%
4983;98%;95%
4984;91%;90%
5002;96%;100%
5021;97%;97%
5024;86%;86%
5026;88%;89%
5048;91%;93%
5057;97%;100%
5082;80%;84%
5084;96%;92%
5104;88%;92%
5105;NO;96%
5109;96%;95%
5113;97%;90%
5122;95%;96%
5126;NO;95%
5131;94%;100%
5150;76%;82%
5153;76%;86%
5155;92%;94%
5215;NO;95%
5216;NO;95%
5218;84%;86%
5219;NO;96%
5264;83%;77%
5265;84%;88%
5267;NO;99%
5270;96%;96%
5274;100%;98%
5282;NO;97%
5315;85%;88%
5323;NO;96%
5343;NO;98%
5344;86%;93%
5374;96%;100%
5393;NO;98%
5394;NO;96%
5434;78%;80%
5435;69%;74%
5439;98%;98%
5440;98%;95%
5465;86%;86%
5467;NO;100%
5507;NO;97%
5509;85%;90%
5565;NO;96%
5566;NO;96%
5567;NO;99%
5568;NO;97%
5569;83%;90%
5570;92%;93%
5574;96%;97%
5590;93%;94%
5597;91%;96%
5613;89%;94%
5652;85%;95%
5653;NO;99%
5654;87%;88%
5655;NO;95%
5656;95%;95%
5658;NO;90%
5659;63%;74%
5661;80%;82%
5662;NO;90%
5663;NO;97%
5666;78%;79%
5669;79%;89%
5670;72%;79%
5697;98%;100%
5703;95%;95%
5713;91%;92%
5720;97%;98%
5729;100%;96%
5806;100%;100%
5813;55%;67%
5814;69%;79%
5816;64%;71%
5823;NO;91%
5879;99%;96%
5897;92%;94%
5921;NO;98%
5923;NO;99%
5957;88%;93%
5959;91%;99%
5992;NO;98%
6007;NO;96%
6027;91%;98%
6051;NO;96%
6052;92%;90%
6070;NO;99%
6084;93%;89%
6085;NO;97%
6087;93%;98%
6112;83%;84%
6113;NO;96%
6115;92%;99%
6118;77%;85%
6119;94%;97%
6120;88%;92%
6122;86%;91%
6135;94%;99%
6163;NO;97%
6188;90%;95%
6210;100%;99%
6223;88%;93%
6230;95%;99%
6252;NO;99%
6253;98%;96%
6267;100%;100%
6269;NO;97%
6270;94%;99%
6301;NO;98%
6302;86%;91%
6336;91%;95%
6348;NO;97%
6397;96%;97%
6398;91%;94%
6452;98%;98%
6465;88%;100%
6496;100%;100%
6497;96%;97%
6500;91%;92%
6584;NO;99%
6585;99%;97%
6586;96%;98%
6641;100%;97%
6643;NO;99%
6644;83%;87%
6649;97%;93%
6650;94%;96%
6708;100%;97%
6751;NO;94%
6752;NO;96%
6753;NO;91%
6754;86%;90%
6755;NO;96%
6757;NO;98%
6766;91%;95%
6770;82%;86%
6826;70%;80%
6828;87%;84%
6829;68%;74%
6830;75%;77%
6832;73%;76%
6835;77%;83%
6836;69%;75%
6846;NO;98%
6853;98%;99%
6895;93%;92%
6896;86%;85%
6897;NO;96%
6899;96%;98%
6922;NO;98%
6925;95%;100%
6929;NO;93%
6983;94%;96%
7004;88%;91%
7006;97%;96%
7015;NO;94%
7031;93%;96%
